FY,Character_Title,Fund_Title,Department_Title,SubObjTitle,budget
2013,Materials and Supplies,Airport Operating Fund,Commerce,#2 Diesel Fuel,73172.2
2013,Materials and Supplies,General Operating Fund,Fire,#2 Diesel Fuel,247.5
2013,Materials and Supplies,Grants Revenue Fund,Fire,#2 Diesel Fuel,274.46
2013,Materials and Supplies,General Operating Fund,Fleet Management,#2 Diesel Fuel,8173830.17
2013,Materials and Supplies,Water Operating Fund,Fleet Management,#2 Diesel Fuel,995566.44
2013,Materials and Supplies,Airport Operating Fund,Fleet Management,#2 Diesel Fuel,356482.11
2013,Materials and Supplies,Grants Revenue Fund,Free Library,#2 Diesel Fuel,148.07
2013,Materials and Supplies,General Operating Fund,Health,#2 Diesel Fuel,1500
2013,Materials and Supplies,General Operating Fund,Human Services,#2 Diesel Fuel,4000.02
2013,Materials and Supplies,Grants Revenue Fund,Human Services,#2 Diesel Fuel,3999.98
2013,Materials and Supplies,General Operating Fund,Prisons,#2 Diesel Fuel,6000
2013,Materials and Supplies,General Operating Fund,Public Property,#2 Diesel Fuel,4577.41
2013,Materials and Supplies,Water Operating Fund,Water,#2 Diesel Fuel,414900
2013,Purchase of Services,General Operating Fund,Licenses & Inspections,Abatement of Other Nuisances,27734.18
2013,Purchase of Services,Water Operating Fund,Water,Abatement of Other Nuisances,8163319.2
2013,Purchase of Services,Undistributed Pension Funds,Board of Pensions,Accounting and Auditing Services,70000
2013,Purchase of Services,General Operating Fund,City Controller,Accounting and Auditing Services,227926
2013,Purchase of Services,Grants Revenue Fund,City Controller,Accounting and Auditing Services,105350
2013,Purchase of Services,Airport Operating Fund,Commerce,Accounting and Auditing Services,721342.29
2013,Purchase of Services,General Operating Fund,Director of Finance,Accounting and Auditing Services,40000
2013,Purchase of Services,General Operating Fund,Health,Accounting and Auditing Services,10000
2013,Purchase of Services,Grants Revenue Fund,Health,Accounting and Auditing Services,10000
2013,Purchase of Services,Healthchoices Behavioral Health Fund,Office of Beh Health & Int Disab Services,Accounting and Auditing Services,152500
2013,Purchase of Services,General Operating Fund,Sheriff,Accounting and Auditing Services,1
2013,Purchase of Services,General Operating Fund,Board of Ethics,Advertising/Promotional Activities,1000
2013,Purchase of Services,General Operating Fund,Board of Revision of Taxes,Advertising/Promotional Activities,301.86
2013,Purchase of Services,General Operating Fund,City Council,Advertising/Promotional Activities,671383.49
2013,Purchase of Services,Grants Revenue Fund,Commerce,Advertising/Promotional Activities,766.08
2013,Purchase of Services,Airport Operating Fund,Commerce,Advertising/Promotional Activities,390167.54
2013,Purchase of Services,Community Development Fund,Commerce,Advertising/Promotional Activities,1831.87
2013,Purchase of Services,General Operating Fund,Director of Finance,Advertising/Promotional Activities,992
2013,Purchase of Services,Grants Revenue Fund,District Attorney,Advertising/Promotional Activities,49667.2
2013,Purchase of Services,General Operating Fund,Fire,Advertising/Promotional Activities,350
2013,Purchase of Services,General Operating Fund,Health,Advertising/Promotional Activities,1185
2013,Purchase of Services,General Operating Fund,Law,Advertising/Promotional Activities,3242.75
2013,Purchase of Services,General Operating Fund,Licenses & Inspections,Advertising/Promotional Activities,1066.72
2013,Purchase of Services,General Operating Fund,Managing Director,Advertising/Promotional Activities,3750
2013,Purchase of Services,Grants Revenue Fund,Managing Director,Advertising/Promotional Activities,1273.28
